%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1526373854940084802,2652,1526373854939866180,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00108385409367,0.000456777249844,-0.00016662423987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0116733070964,-0.0177711775806,9.76998341024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854946338396,2653,1526373854946192878,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016501858975,0.00213651864385,-0.000845752472922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00148782773438,-0.00298427211761,9.78508559883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854975115337,2654,1526373854974912205,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036256893407,0.000376446727628,-0.00115827572721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0217967571504,-0.00889633647515,9.78332383275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854980346711,2655,1526373854980178113,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00208467087656,0.00129334558808,-0.0012546206511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0226140905474,-0.000254734356749,9.78633982658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854986704549,2656,1526373854986292729,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018259596009,-3.38374028605e-05,3.30495808382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0163764704671,-0.00768505605985,9.80947433531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854996398446,2657,1526373854996291446,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045494882981,-0.00046103408138,0.000456643636659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0124068505783,-0.0236815637187,9.7850470072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373855008910439,2658,1526373855008733656,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67233266889e-05,-0.00142395790505,0.00183168357672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0170594949194,-0.00986727462849,9.775139485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373855019161304,2659,1526373855018846250,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00166477190596,0.0011738713442,-0.00101460956466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0160525838274,-0.0127537469252,9.7919420439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373855029311429,2660,1526373855029153084,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00290861897813,0.00114330051753,-9.97835290829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00807627076108,-0.0113067255041,9.80170221627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373855039397420,2661,1526373855039198090,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00221943632043,0.000145534731566,0.000294486124561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00806030169537,-0.0102219173941,9.79791848302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
